Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,27p,
C2,0603,1,0.1u,C1656
J1,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Pin,
J2,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,
R1,0603,1,120,
R2,0603,1,2.8k,
R3,0603,1,1.2k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
T1,78613_3C,1,78613_3C,
U1,MSOP-16_3x4.039mm_P0.5mm,1,~,
