Designator,Mid X,Mid Y,Rotation,Layer
C1,90.17,-64.91,90.0,top
C2,80.01,-69.99,270.0,top
J1,76.2,-64.77,180.0,top
J2,94.04,-71.61,0.0,top
R1,90.17,-68.77,270.0,top
R2,90.17,-58.305,270.0,top
R3,90.17,-61.785,270.0,top
R4,85.852,-73.279,180.0,top
T1,98.552,-62.3926,0.0,top
U1,85.335,-65.25,270.0,top
